Case,L.rate,Nr-HL1,RMSE,MAE,MAPE
1.0,0.001,30.0,9.044243812561035,1.9390026330947876,2.9596457481384277
2.0,0.001,40.0,6.906057834625244,1.6592271327972412,2.398261308670044
3.0,0.001,50.0,6.585368633270264,1.5175608396530151,2.069749593734741
4.0,0.001,60.0,6.269901752471924,1.4250807762145996,2.032580614089966
5.0,0.001,70.0,113.1685562133789,102.29888916015625,100.0
6.0,0.005,30.0,10.296541213989258,2.491872549057007,3.908883810043335
7.0,0.005,40.0,10.878746032714844,2.505471706390381,3.764537811279297
8.0,0.005,50.0,9.100479125976562,2.073904275894165,3.0307843685150146
9.0,0.005,60.0,10.854172706604004,2.311709403991699,3.7047104835510254
10.0,0.005,70.0,113.1685562133789,102.29888916015625,100.0
11.0,0.01,30.0,13.876619338989258,3.2672924995422363,5.40953254699707
12.0,0.01,40.0,12.909584999084473,3.3868672847747803,5.675786018371582
13.0,0.01,50.0,113.1685562133789,102.29888916015625,100.0
14.0,0.01,60.0,13.437400817871094,3.60687255859375,5.966423988342285
15.0,0.01,70.0,13.965372085571289,3.0801548957824707,5.445406436920166
