Case,L.rate,Nr-HL1,RMSE,MAE,MAPE
1.0,0.001,2.0,0.14338667690753937,0.08526956290006638,303074.875
2.0,0.001,4.0,0.5859149694442749,0.5033476948738098,99.375
3.0,0.001,6.0,0.12432194501161575,0.0776338055729866,36760.5078125
4.0,0.001,8.0,0.5859149694442749,0.5033476948738098,99.375
5.0,0.001,10.0,0.10528720915317535,0.051432330161333084,115237.3515625
6.0,0.005,2.0,0.5859149694442749,0.5033476948738098,99.375
7.0,0.005,4.0,0.5859149694442749,0.5033476948738098,99.375
8.0,0.005,6.0,0.5859149694442749,0.5033476948738098,99.375
9.0,0.005,8.0,0.5859149694442749,0.5033476948738098,99.375
10.0,0.005,10.0,0.5859149694442749,0.5033476948738098,99.375
11.0,0.01,2.0,0.5859149694442749,0.5033476948738098,99.375
12.0,0.01,4.0,0.5859149694442749,0.5033476948738098,99.375
13.0,0.01,6.0,0.5859149694442749,0.5033476948738098,99.375
14.0,0.01,8.0,0.5859149694442749,0.5033476948738098,99.375
15.0,0.01,10.0,0.5859149694442749,0.5033476948738098,99.375
