,P10
0,0.0010403136159999999
1,0.0013114322880000001
2,0.0005074684300000001
3,0.000755877598
4,0.0009444990099999999
5,0.000998662057
6,0.0015248948311000002
7,0.001041998125
8,0.0005262587359999999
9,0.0013248156145
10,0.000815595907
11,0.000646593253
12,0.0008596639308
13,0.0010106752872
14,0.001025276623
15,0.001053950091
16,0.001342824562
17,0.000544909359
18,0.001441193147
19,0.0009190460755
20,0.0010688339282
21,0.001165468445
22,0.0008317159006
23,0.00124636295
24,0.0011426404820000001
25,0.0007425916420000001
26,0.000739843177
27,0.001198014331
28,0.0008677289159999999
29,0.0005770503490000001
30,0.000584655965
31,0.0009917678564000001
32,0.0007737241608
33,0.001485322905
34,0.0008556762770999999
35,0.000837879583
36,0.0009872742930000001
37,0.000651323469
38,0.0013837083255
39,0.0011980300953999999
40,0.000836171354
41,0.001214888616
42,0.0010598078030000001
43,0.0008619228169
44,0.0008130579083
45,0.0007860947953
46,0.0009857873437999999
47,0.000961292225
48,0.0009123813030000001
49,0.001123838508
50,0.000806728778
51,0.001370649884
52,0.000824991318
53,0.0009251603440000001
54,0.0012546652391
55,0.0012145392427
56,0.000549336692
57,0.0009605307469999999
58,0.000710009975
59,0.0007509579630000001
60,0.0008024630586000001
61,0.0010699669062
62,0.001298100312
63,0.001091529643
64,0.0010492213909
65,0.001154752831
66,0.0011963403629999998
67,0.0013356439191
68,0.001108458265
69,0.0006758926320000001
70,0.0012795449309000002
71,0.0010334589702
72,0.0013207702361
73,0.001193164382
74,0.0007764082099999999
75,0.00069701203
76,0.001132603114
77,0.0011333144485999999
78,0.000830222125
79,0.000721520599
80,0.001116968778
81,0.001466815007
82,0.000938668412
83,0.001000304716
84,0.000873871588
85,0.0012967357511
86,0.0008583011225
87,0.0012982650254
88,0.000865107523
89,0.0009105194963
90,0.001187318846
91,0.0012331958254
92,0.0008385697363
93,0.001074909039
94,0.000810712028
95,0.000797543469
96,0.001372204857
97,0.0007532069869999999
98,0.000792862653
99,0.0008942078859
