,P10
0,0.000998662057
1,0.001041998125
2,0.0013248156145
3,0.000815595907
4,0.000646593253
5,0.0010106752872
6,0.001025276623
7,0.000544909359
8,0.001441193147
9,0.0008317159006
10,0.00124636295
11,0.0008677289159999999
12,0.0007737241608
13,0.001485322905
14,0.000837879583
15,0.0009872742930000001
16,0.0013837083255
17,0.0011980300953999999
18,0.000836171354
19,0.001214888616
20,0.0010598078030000001
21,0.0008619228169
22,0.0008130579083
23,0.001370649884
24,0.000824991318
25,0.0009251603440000001
26,0.0012546652391
27,0.000549336692
28,0.0009605307469999999
29,0.0007509579630000001
30,0.0008024630586000001
31,0.001091529643
32,0.001154752831
33,0.001108458265
34,0.0013207702361
35,0.001193164382
36,0.00069701203
37,0.000721520599
38,0.001116968778
39,0.000938668412
40,0.001000304716
41,0.000865107523
42,0.0012331958254
43,0.000797543469
44,0.001372204857
45,0.000792862653
46,0.0008942078859
