,P10
0,0.013022073266115517
1,0.022292131605168134
2,0.00751031985297534
3,0.012945837683162488
4,0.015280461704925991
5,0.013862000175078456
6,0.02130933947303274
7,0.01581991844813624
8,0.009105309031133097
9,0.016699932112907424
10,0.012359738236369192
11,0.007824086890617966
12,0.014263822943957713
13,0.011034270693371795
14,0.01064731983047471
15,0.015932813937515368
16,0.015527675439945824
17,0.007221941312356146
18,0.01628564659504256
19,0.013933085878937696
20,0.015037153243962856
21,0.014062134639677402
22,0.009126885609092413
23,0.0166493416591718
24,0.01411155631244553
25,0.011968546330119439
26,0.01171460398698275
27,0.018553060234042826
28,0.010923828535231484
29,0.007400242286405214
30,0.009974272251275366
31,0.012983690157650907
32,0.008754188060108355
33,0.023277546908981216
34,0.01215205134563615
35,0.008102642821977271
36,0.008911540245260493
37,0.012380892908015716
38,0.013427862738325743
39,0.010814143557382075
40,0.012650674173848957
41,0.016790661496270617
42,0.010236468359088419
43,0.009360877239877715
44,0.009747435210744584
45,0.009855494828749405
46,0.010603573642809137
47,0.01292740029465861
48,0.013981465898038213
49,0.014907221855040226
50,0.00891928656053499
51,0.017843749235429272
52,0.011808156619827256
53,0.007578752235422222
54,0.009227524640610555
55,0.015990947679461597
56,0.006664128191474819
57,0.006643457047263242
58,0.013123402088519852
59,0.010619639921236703
60,0.009206076122471598
61,0.016743265049516246
62,0.01728493700815465
63,0.012539566431657769
64,0.017124474095008193
65,0.015013119610180755
66,0.012620916280803782
67,0.012217623791572464
68,0.009892522455252512
69,0.010403451904800269
70,0.0166941269955788
71,0.010988773379483856
72,0.01165363740926785
73,0.008906976961797777
74,0.00983499572140163
75,0.010338049833942532
76,0.017870681254116075
77,0.012803104169813652
78,0.009184583904727832
79,0.010062246081479315
80,0.013898987274566892
81,0.02324945802952726
82,0.010759135810186346
83,0.00556222498807585
84,0.010441900269690978
85,0.012237611949230199
86,0.011220555117636071
87,0.018592902418223162
88,0.012426883547002311
89,0.009322516686919774
90,0.017897262848251317
91,0.00969616786733128
92,0.011614688949222636
93,0.01353481584694046
94,0.008954341287717764
95,0.011706438283944114
96,0.008766808763346432
97,0.009751158697836044
98,0.011606860855500745
99,0.008283985372149692
